study_year,poverty_families,poverty_individuals,median_income_2018,total_population,median_center_infant,median_family_infant,county_name,state_name,state_abbreviation
2008,8.5,11.5,58462.55,49744,104.95,83.45,Autauga County,Alabama,AL
2009,7.5,10.3,60211.71,49584,105.11,87.39,Autauga County,Alabama,AL
2010,7.5,10.6,61775.8,53155,105.28,91.33,Autauga County,Alabama,AL
2011,7.4,10.9,60366.88,53944,105.45,95.28,Autauga County,Alabama,AL
2012,7.4,11.6,59150.3,54590,105.61,99.22,Autauga County,Alabama,AL
2013,8.3,12.1,57976.56,54907,105.78,103.16,Autauga County,Alabama,AL
2014,9.1,12.8,55623.5,55136,105.95,107.1,Autauga County,Alabama,AL
2015,9.3,12.9,54357.86,55221,109.56,107.1,Autauga County,Alabama,AL
2016,9.4,12.3,55753.95,55049,113.18,107.1,Autauga County,Alabama,AL
2017,10.9,13.7,56976.51,55036,116.79,107.1,Autauga County,Alabama,AL
2018,12,15.4,58786,55200,120.41,107.1,Autauga County,Alabama,AL
2008,8.2,10.3,58219.9,171447,109.95,105.56,Baldwin County,Alabama,AL
2009,8.8,11.9,57234.06,171997,109.28,105.39,Baldwin County,Alabama,AL
2010,9.1,12.2,58170.52,175791,108.62,105.21,Baldwin County,Alabama,AL
2011,9,12.5,57479.52,179523,107.95,105.04,Baldwin County,Alabama,AL
2012,9.6,13.3,55776.6,183226,107.28,104.87,Baldwin County,Alabama,AL
2013,10.3,13.9,54238.68,187114,106.61,104.7,Baldwin County,Alabama,AL
2014,10.2,13.8,53193.98,191205,105.95,104.53,Baldwin County,Alabama,AL
2015,9.6,13.4,53269.24,195121,109.56,105.39,Baldwin County,Alabama,AL
2016,9.3,13,53933.25,199510,113.18,106.24,Baldwin County,Alabama,AL
2017,8.2,11.8,54138.86,203360,116.79,107.1,Baldwin County,Alabama,AL
2018,7.3,10.6,55962,208107,120.41,107.96,Baldwin County,Alabama,AL
2008,20.9,25.4,37385.35,29396,75.75,74.03,Barbour County,Alabama,AL
2009,20.5,24.7,38068.29,29663,78.42,74.54,Barbour County,Alabama,AL
2010,19.9,25,38534.04,27699,81.09,75.06,Barbour County,Alabama,AL
2011,19.1,24.7,38125.92,27546,83.76,75.57,Barbour County,Alabama,AL
2012,20.2,26.1,35077.9,27469,86.43,76.08,Barbour County,Alabama,AL
2013,20.8,26.7,35543.88,27321,89.09,76.6,Barbour County,Alabama,AL
2014,19.1,24.1,37772.04,27119,91.76,77.11,Barbour County,Alabama,AL
2015,19.5,26.7,34941.84,26932,90.37,78.25,Barbour County,Alabama,AL
2016,20,26.4,35653.8,26614,88.98,79.4,Barbour County,Alabama,AL
2017,20.5,27.2,34369.04,26201,87.59,80.54,Barbour County,Alabama,AL
2018,21.5,28.9,34186,25782,86.2,81.68,Barbour County,Alabama,AL
2008,9.9,13,50464.3,21473,86.59,76.25,Bibb County,Alabama,AL
2009,8.3,11.9,48246.12,21464,89.26,77.11,Bibb County,Alabama,AL
2010,9.4,12.6,48453.2,22610,91.93,77.97,Bibb County,Alabama,AL
2011,11.7,15.7,45366.72,22746,94.6,78.83,Bibb County,Alabama,AL
2012,13.1,16.5,40506.4,22769,97.27,79.68,Bibb County,Alabama,AL
2013,15.1,18.1,39362.76,22754,99.94,80.54,Bibb County,Alabama,AL
2014,13,17,40263.04,22653,102.61,81.4,Bibb County,Alabama,AL
2015,12.8,16.8,40998.68,22604,103.17,82.82,Bibb County,Alabama,AL
2016,11.7,16.5,41764.8,22572,103.72,84.25,Bibb County,Alabama,AL
2017,11.9,15.2,44706.12,22580,104.28,85.68,Bibb County,Alabama,AL
2018,10.5,14,45340,22527,104.83,87.11,Bibb County,Alabama,AL
2008,8.8,12,53048.35,56550,120.64,105.3,Blount County,Alabama,AL
2009,8.3,11,53125.02,56804,122.36,105.13,Blount County,Alabama,AL
2010,10,13.4,52836.84,56692,124.08,104.95,Blount County,Alabama,AL
2011,10.2,13.7,50852.48,57140,125.81,104.78,Blount County,Alabama,AL
2012,10.9,14.7,49711.2,57466,127.53,104.61,Blount County,Alabama,AL
2013,12,15.8,47676.6,57623,129.25,104.44,Blount County,Alabama,AL
2014,13.2,17.3,47073.54,57645,130.98,104.26,Blount County,Alabama,AL
2015,12.3,16.7,48561.78,57710,142.75,105.41,Blount County,Alabama,AL
2016,12.2,16.5,48522.6,57704,154.53,106.56,Blount County,Alabama,AL
2017,11.1,15.6,48834.36,57667,166.31,107.71,Blount County,Alabama,AL
2018,10.2,14.4,48695,57645,178.08,108.86,Blount County,Alabama,AL
2008,29.8,32.43,29424.28,11006,104.95,83.45,Bullock County,Alabama,AL
2009,29.8,32.3,30664.53,10917,105.11,87.39,Bullock County,Alabama,AL
2010,22.6,25.3,36658.32,10923,105.28,91.33,Bullock County,Alabama,AL
2011,22.1,26,35789.6,10877,105.45,95.28,Bullock County,Alabama,AL
2012,18.4,22.2,37950,10779,105.61,99.22,Bullock County,Alabama,AL
2013,18.3,21.6,34595.64,10746,105.78,103.16,Bullock County,Alabama,AL
2014,18.3,20.5,36892.24,10693,105.95,107.1,Bullock County,Alabama,AL
2015,22.7,24.6,33854.28,10678,109.56,107.1,Bullock County,Alabama,AL
2016,25.3,26.9,30801.75,10552,113.18,107.1,Bullock County,Alabama,AL
2017,29.7,28.5,30544.65,10478,116.79,107.1,Bullock County,Alabama,AL
2018,31,31.4,32152,10352,120.41,107.1,Bullock County,Alabama,AL
2008,15.2,20.3,37523.35,20155,108.4,83.93,Butler County,Alabama,AL
2009,17.8,22,37367.46,20189,108.57,87.89,Butler County,Alabama,AL
2010,19.7,25,35564.44,20895,108.75,91.86,Butler County,Alabama,AL
2011,21.4,25.7,35025.76,20860,108.92,95.82,Butler County,Alabama,AL
2012,21.6,25.7,33827.2,20730,109.09,99.78,Butler County,Alabama,AL
2013,23.3,28.4,32311.44,20624,109.26,103.75,Butler County,Alabama,AL
2014,21.3,25.9,33465.26,20523,109.44,107.71,Butler County,Alabama,AL
2015,20.5,25.4,34162.74,20354,113.17,107.71,Butler County,Alabama,AL
2016,20.6,25.7,36030.75,20280,116.9,107.71,Butler County,Alabama,AL
2017,19.3,24.4,37415.78,20126,120.64,107.71,Butler County,Alabama,AL
2018,18.9,23.5,39109,20025,124.37,107.71,Butler County,Alabama,AL
2008,14.7,17.9,44913.25,112952,80.09,72.14,Calhoun County,Alabama,AL
2009,14,17.5,44906.94,112969,81.75,73.68,Calhoun County,Alabama,AL
2010,15.2,19.5,44552.12,117149,83.42,75.23,Calhoun County,Alabama,AL
2011,15.4,20.4,44203.04,117614,85.09,76.77,Calhoun County,Alabama,AL
2012,16.1,21.4,44102.3,117834,86.76,78.31,Calhoun County,Alabama,AL
2013,17,21.9,43158.96,117714,88.43,79.85,Calhoun County,Alabama,AL
2014,17,21.7,43374.14,117186,90.1,81.4,Calhoun County,Alabama,AL
2015,16.5,20.5,44205.18,116648,92.04,82.82,Calhoun County,Alabama,AL
2016,15.8,19.6,44051.7,115883,93.99,84.25,Calhoun County,Alabama,AL
2017,14.9,18.6,44996.58,115527,95.94,85.68,Calhoun County,Alabama,AL
2018,14.6,18.6,45197,115098,97.88,87.11,Calhoun County,Alabama,AL
2008,12.2,15.2,40163.75,34635,98.77,93.39,Chambers County,Alabama,AL
2009,12.3,16,37946.61,34704,100.11,94.25,Chambers County,Alabama,AL
2010,16.4,20.3,36501.72,34579,101.44,95.1,Chambers County,Alabama,AL
2011,17.3,21,36048.32,34375,102.78,95.96,Chambers County,Alabama,AL
2012,20.2,23.3,35399.1,34228,104.11,96.82,Chambers County,Alabama,AL
2013,21,24.1,34994.16,34145,105.45,97.67,Chambers County,Alabama,AL
2014,19.5,23.9,34805.1,34091,106.78,98.53,Chambers County,Alabama,AL
2015,17.2,21.6,36227.62,34079,111.23,104.24,Chambers County,Alabama,AL
2016,15.3,20.3,37828.35,34018,115.68,109.96,Chambers County,Alabama,AL
2017,14,18.8,38462.26,33895,120.13,115.67,Chambers County,Alabama,AL
2018,11.3,16.6,39872,33826,124.58,121.38,Chambers County,Alabama,AL
2008,12.1,15.8,48323,24515,79.97,69.28,Cherokee County,Alabama,AL
2009,10.7,14.6,47080.8,24427,81.86,68.94,Cherokee County,Alabama,AL
2010,13.7,17.6,47200.4,25700,83.76,68.59,Cherokee County,Alabama,AL
2011,16.5,20.8,42372.96,25819,85.65,68.25,Cherokee County,Alabama,AL
2012,15.9,19.5,39865.1,25917,87.55,67.9,Cherokee County,Alabama,AL
2013,16.9,21.2,37699.56,26034,89.44,67.56,Cherokee County,Alabama,AL
2014,17,21,37081.98,26042,91.34,67.21,Cherokee County,Alabama,AL
2015,15.1,19.2,38473.76,26008,92.49,67.79,Cherokee County,Alabama,AL
2016,13.3,16.4,40871.25,25897,93.64,68.36,Cherokee County,Alabama,AL
2017,12.8,16.1,41242.23,25855,94.79,68.94,Cherokee County,Alabama,AL
2018,12.5,15,41014,25853,95.94,69.51,Cherokee County,Alabama,AL
2008,13,18.3,42913.4,42104,108.4,83.93,Chilton County,Alabama,AL
2009,13.7,17.2,45590.22,42272,108.57,87.89,Chilton County,Alabama,AL
2010,14.4,18.4,45803.76,43121,108.75,91.86,Chilton County,Alabama,AL
2011,13.6,17.4,45268.16,43444,108.92,95.82,Chilton County,Alabama,AL
2012,14.7,18.6,44917.4,43611,109.09,99.78,Chilton County,Alabama,AL
2013,15.5,19.5,44550,43744,109.26,103.75,Chilton County,Alabama,AL
2014,14.9,18.8,44292.1,43781,109.44,107.71,Chilton County,Alabama,AL
2015,14.9,19.1,44124.62,43819,113.17,107.71,Chilton County,Alabama,AL
2016,15.8,20.3,44723.7,43817,116.9,107.71,Chilton County,Alabama,AL
2017,16,19.4,44806.03,43805,120.64,107.71,Chilton County,Alabama,AL
2018,15.3,18.6,45182,43930,124.37,107.71,Chilton County,Alabama,AL
2008,18.39,22.99,34594.68,14417,89.44,76.69,Choctaw County,Alabama,AL
2009,18.1,22.8,35976.33,14229,92.2,77.55,Choctaw County,Alabama,AL
2010,14.2,18.7,36048.16,14111,94.96,78.41,Choctaw County,Alabama,AL
2011,14.4,20.5,36050.56,13953,97.72,79.28,Choctaw County,Alabama,AL
2012,13.7,20.2,38635.3,13838,100.47,80.14,Choctaw County,Alabama,AL
2013,14.8,21.5,36656.28,13687,103.23,81,Choctaw County,Alabama,AL
2014,15.6,21.5,36384.5,13546,105.99,81.86,Choctaw County,Alabama,AL
2015,16.9,23.4,35548.16,13395,106.56,83.3,Choctaw County,Alabama,AL
2016,16.2,21,34253.1,13287,107.14,84.73,Choctaw County,Alabama,AL
2017,17.4,22.3,33085.66,13188,107.71,86.17,Choctaw County,Alabama,AL
2018,17.8,22.2,34884,13075,108.29,87.61,Choctaw County,Alabama,AL
2008,21,26.2,30385.3,26501,113.57,106.16,Clarke County,Alabama,AL
2009,20,26.1,31683.6,26438,112.88,105.99,Clarke County,Alabama,AL
2010,21.1,29.2,31829.24,26255,112.19,105.82,Clarke County,Alabama,AL
2011,21.7,27.2,33228.16,26046,111.5,105.64,Clarke County,Alabama,AL
2012,21.5,26.4,34049.4,25768,110.81,105.47,Clarke County,Alabama,AL
2013,22.9,29.3,31705.56,25573,110.12,105.3,Clarke County,Alabama,AL
2014,21,27,32808.06,25331,109.44,105.13,Clarke County,Alabama,AL
2015,18.3,24.7,33931.66,25070,113.17,105.99,Clarke County,Alabama,AL
2016,17.7,24.6,34371.75,24847,116.9,106.85,Clarke County,Alabama,AL
2017,17.8,25.3,34841.81,24625,120.64,107.71,Clarke County,Alabama,AL
2018,18.4,25.4,36127,24387,124.37,108.57,Clarke County,Alabama,AL
2008,14.41,17.63,42051.79,13823,82.72,72.55,Clay County,Alabama,AL
2009,14.6,17.7,44052.84,13769,84.45,74.11,Clay County,Alabama,AL
2010,18.5,18.8,41290.2,14040,86.17,75.66,Clay County,Alabama,AL
2011,16.9,18.7,39659.2,14010,87.89,77.21,Clay County,Alabama,AL
2012,17.8,19.8,38011.6,13828,89.62,78.76,Clay County,Alabama,AL
2013,16.8,19,36722.16,13703,91.34,80.31,Clay County,Alabama,AL
2014,15,18.7,37403.16,13617,93.06,81.86,Clay County,Alabama,AL
2015,13.1,16.7,37446.62,13537,95.07,83.3,Clay County,Alabama,AL
2016,13.2,16.7,40755.75,13483,97.08,84.73,Clay County,Alabama,AL
2017,15,19.1,38405.61,13407,99.09,86.17,Clay County,Alabama,AL
2018,14.8,18.4,41225,13378,101.11,87.61,Clay County,Alabama,AL
2008,11.79,16.12,38429.93,14528,82.72,72.55,Cleburne County,Alabama,AL
2009,11.9,16.4,39478.14,14579,84.45,74.11,Cleburne County,Alabama,AL
2010,11.6,17.1,41849.32,14823,86.17,75.66,Cleburne County,Alabama,AL
2011,12.2,16.8,43439.2,14881,87.89,77.21,Cleburne County,Alabama,AL
2012,12.6,18,40968.4,14905,89.62,78.76,Cleburne County,Alabama,AL
2013,11.6,18.4,41060.52,14945,91.34,80.31,Cleburne County,Alabama,AL
2014,11.8,18.1,39228.48,14990,93.06,81.86,Cleburne County,Alabama,AL
2015,10.6,17,40339.36,15002,95.07,83.3,Cleburne County,Alabama,AL
2016,12.2,19.6,38131.8,14991,97.08,84.73,Cleburne County,Alabama,AL
2017,12.2,19.1,38517.88,14939,99.09,86.17,Cleburne County,Alabama,AL
2018,12,18.5,40188,14938,101.11,87.61,Cleburne County,Alabama,AL
2008,12.7,16.2,47299.5,46698,75.75,74.03,Coffee County,Alabama,AL
2009,12.9,16.1,49108.41,46802,78.42,74.54,Coffee County,Alabama,AL
2010,14.1,17.2,49013.48,48349,81.09,75.06,Coffee County,Alabama,AL
2011,14.5,17.7,47112.8,49221,83.76,75.57,Coffee County,Alabama,AL
2012,13.7,17.1,49088.6,49966,86.43,76.08,Coffee County,Alabama,AL
2013,14.8,18.6,47269.44,50468,89.09,76.6,Coffee County,Alabama,AL
2014,15.3,18.8,48291.48,50726,91.76,77.11,Coffee County,Alabama,AL
2015,13.5,17.1,49532.74,50884,90.37,78.25,Coffee County,Alabama,AL
2016,12.9,16.4,50265.6,50991,88.98,79.4,Coffee County,Alabama,AL
2017,13.1,16.1,51315.63,51073,87.59,80.54,Coffee County,Alabama,AL
2018,11.6,15.1,53155,51288,86.2,81.68,Coffee County,Alabama,AL
2008,10.9,13.1,45896.5,54538,107.45,92.19,Colbert County,Alabama,AL
2009,11.2,14,46058.22,54546,109.28,95.1,Colbert County,Alabama,AL
2010,12.2,15.7,45947.6,54446,111.12,98.02,Colbert County,Alabama,AL
2011,14,16.5,45076.64,54478,112.95,100.93,Colbert County,Alabama,AL
2012,12.9,16.2,44173.8,54451,114.79,103.84,Colbert County,Alabama,AL
2013,14.1,17.9,42203.16,54456,116.62,106.76,Colbert County,Alabama,AL
2014,14.5,18.3,42308.84,54491,118.46,109.67,Colbert County,Alabama,AL
2015,13.9,17.4,43010.56,54444,122.63,111.67,Colbert County,Alabama,AL
2016,13.1,16.5,45975.3,54377,126.8,113.67,Colbert County,Alabama,AL
2017,12.9,16.8,46841.31,54435,130.97,115.67,Colbert County,Alabama,AL
2018,12.6,16.3,47558,54495,135.14,117.67,Colbert County,Alabama,AL
2008,22.77,28.73,30646.09,13222,113.57,106.16,Conecuh County,Alabama,AL
2009,22.9,29,31842.72,13114,112.88,105.99,Conecuh County,Alabama,AL
2010,22.7,30.6,31255.04,13382,112.19,105.82,Conecuh County,Alabama,AL
2011,21.6,28,31334.24,13286,111.5,105.64,Conecuh County,Alabama,AL
2012,25.4,30.4,29770.4,13188,110.81,105.47,Conecuh County,Alabama,AL
2013,31.4,32.7,26630.64,13104,110.12,105.3,Conecuh County,Alabama,AL
2014,29.8,32.9,25898.98,12985,109.44,105.13,Conecuh County,Alabama,AL
2015,30.4,33.8,26394,12865,113.17,105.99,Conecuh County,Alabama,AL
2016,28,32.5,28989.45,12697,116.9,106.85,Conecuh County,Alabama,AL
2017,21.9,26.4,31347.02,12649,120.64,107.71,Conecuh County,Alabama,AL
2018,17.4,22.2,33177,12514,124.37,108.57,Conecuh County,Alabama,AL
2008,14.56,19.52,38158.66,10935,82.72,72.55,Coosa County,Alabama,AL
2009,14.9,20.1,39306.15,10777,84.45,74.11,Coosa County,Alabama,AL
2010,11.4,16,41249.6,11470,86.17,75.66,Coosa County,Alabama,AL
2011,14.6,18.8,41653.92,11303,87.89,77.21,Coosa County,Alabama,AL
2012,15.1,20.2,41167.5,11305,89.62,78.76,Coosa County,Alabama,AL
2013,15.7,20.9,40259.16,11198,91.34,80.31,Coosa County,Alabama,AL
2014,16.8,20,34280.4,11247,93.06,81.86,Coosa County,Alabama,AL
2015,14.9,19.3,33084.72,11027,95.07,83.3,Coosa County,Alabama,AL
2016,9.7,15.3,33505.5,10864,97.08,84.73,Coosa County,Alabama,AL
2017,8.6,14.4,35835.76,10955,99.09,86.17,Coosa County,Alabama,AL
2018,8.7,14,38301,10855,101.11,87.61,Coosa County,Alabama,AL
2008,11.8,16.2,38545.7,36860,104.95,83.45,Covington County,Alabama,AL
2009,14.3,18.1,38935.26,36688,105.11,87.39,Covington County,Alabama,AL
2010,15.7,19,39268.32,37608,105.28,91.33,Covington County,Alabama,AL
2011,18.5,21.6,37569.28,37736,105.45,95.28,Covington County,Alabama,AL
2012,18,20.9,38853.1,37803,105.61,99.22,Covington County,Alabama,AL
2013,16.7,20,38738.52,37847,105.78,103.16,Covington County,Alabama,AL
2014,16.6,20.1,38431.36,37881,105.95,107.1,Covington County,Alabama,AL
2015,16,20.2,38630.64,37886,109.56,107.1,Covington County,Alabama,AL
2016,14.2,19,39178.65,37729,113.18,107.1,Covington County,Alabama,AL
2017,13.2,17.6,40651.01,37519,116.79,107.1,Covington County,Alabama,AL
2018,13.8,18.3,40601,37351,120.41,107.1,Covington County,Alabama,AL
2008,18.24,21.92,35077.3,13685,78.24,74.45,Crenshaw County,Alabama,AL
2009,18.2,21.9,36337.86,13687,81,74.97,Crenshaw County,Alabama,AL
2010,13.7,17.7,40762.4,13928,83.76,75.48,Crenshaw County,Alabama,AL
2011,11.6,16.9,42605.92,13938,86.51,76,Crenshaw County,Alabama,AL
2012,13.6,18.4,41039.9,13971,89.27,76.52,Crenshaw County,Alabama,AL
2013,15.3,19.1,39177,13955,92.03,77.04,Crenshaw County,Alabama,AL
2014,14.8,17.2,39589.94,13938,94.79,77.55,Crenshaw County,Alabama,AL
2015,14,16.7,38183.32,13938,93.35,78.7,Crenshaw County,Alabama,AL
2016,15,18.2,39434.85,13896,91.91,79.85,Crenshaw County,Alabama,AL
2017,13.5,17.6,40105.11,13866,90.48,81,Crenshaw County,Alabama,AL
2018,10.3,15.7,39812,13865,89.04,82.15,Crenshaw County,Alabama,AL
2008,11.1,14.7,44952.35,80476,110.99,92.72,Cullman County,Alabama,AL
2009,12.6,16.6,44920.98,80630,112.88,95.65,Cullman County,Alabama,AL
2010,12.8,16.7,44737.72,79941,114.78,98.58,Cullman County,Alabama,AL
2011,13.5,17.6,43347.36,80246,116.67,101.51,Cullman County,Alabama,AL
2012,14.3,18.6,43168.4,80403,118.57,104.44,Cullman County,Alabama,AL
2013,14.4,18.8,41954.76,80499,120.46,107.37,Cullman County,Alabama,AL
2014,13.4,18,41779.9,80668,122.36,110.3,Cullman County,Alabama,AL
2015,13,18.5,41309.26,80965,126.67,112.31,Cullman County,Alabama,AL
2016,12,17.1,41261.85,81316,130.98,114.32,Cullman County,Alabama,AL
2017,12.3,16.4,42226.91,81703,135.29,116.33,Cullman County,Alabama,AL
2018,11.7,15.8,42558,82313,139.59,118.34,Cullman County,Alabama,AL
2008,10,13.8,49788.1,48144,75.75,74.03,Dale County,Alabama,AL
2009,10.9,14.2,49403.25,48233,78.42,74.54,Dale County,Alabama,AL
2010,11.4,14.8,50289.48,49730,81.09,75.06,Dale County,Alabama,AL
2011,11.7,15.5,50949.92,49920,83.76,75.57,Dale County,Alabama,AL
2012,12.7,16,49771.7,50129,86.43,76.08,Dale County,Alabama,AL
2013,13.7,17.4,48480.12,50102,89.09,76.6,Dale County,Alabama,AL
2014,14.7,18.7,47141.38,50013,91.76,77.11,Dale County,Alabama,AL
2015,13.9,19.1,47729.68,49866,90.37,78.25,Dale County,Alabama,AL
2016,15.8,20.5,46297.65,49607,88.98,79.4,Dale County,Alabama,AL
2017,15.5,19.6,46052.33,49393,87.59,80.54,Dale County,Alabama,AL
2018,13.5,18.4,45960,49255,86.2,81.68,Dale County,Alabama,AL
2008,26.8,30,30915.45,43023,104.95,83.45,Dallas County,Alabama,AL
2009,28.1,32,30937.14,42748,105.11,87.39,Dallas County,Alabama,AL
2010,27.3,31.8,30193.64,44066,105.28,91.33,Dallas County,Alabama,AL
2011,29.4,34.7,30138.08,43868,105.45,95.28,Dallas County,Alabama,AL
2012,30,36.5,28795.8,43572,105.61,99.22,Dallas County,Alabama,AL
2013,28.1,35.5,28640.52,43091,105.78,103.16,Dallas County,Alabama,AL
2014,28.5,35.9,28083.64,42743,105.95,107.1,Dallas County,Alabama,AL
2015,27.8,35,28944.36,42154,109.56,107.1,Dallas County,Alabama,AL
2016,27,34.3,29542.8,41426,113.18,107.1,Dallas County,Alabama,AL
2017,25.7,31.9,30966.95,40755,116.79,107.1,Dallas County,Alabama,AL
2018,24.8,31.1,31602,40029,120.41,107.1,Dallas County,Alabama,AL
2008,17,21,38119.05,67817,79.97,69.28,DeKalb County,Alabama,AL
2009,15.7,20.9,39351.78,68183,81.86,68.94,DeKalb County,Alabama,AL
2010,16,20,40675.4,70038,83.76,68.59,DeKalb County,Alabama,AL
2011,15.7,19.8,41275.36,70608,85.65,68.25,DeKalb County,Alabama,AL
2012,14.9,19.5,40538.3,70949,87.55,67.9,DeKalb County,Alabama,AL
2013,14.6,19.9,40879.08,71076,89.44,67.56,DeKalb County,Alabama,AL
2014,14.7,20.1,40255.62,71074,91.34,67.21,DeKalb County,Alabama,AL
2015,14,18.7,40483.52,71068,92.49,67.79,DeKalb County,Alabama,AL
2016,14.3,19.8,40160.4,70937,93.64,68.36,DeKalb County,Alabama,AL
2017,16.2,21.5,40007.26,71194,94.79,68.94,DeKalb County,Alabama,AL
2018,17,22.1,39233,71200,95.94,69.51,DeKalb County,Alabama,AL
2008,7.2,11.6,62741.7,76949,104.95,83.45,Elmore County,Alabama,AL
2009,9.1,13.1,61976.07,76714,105.11,87.39,Elmore County,Alabama,AL
2010,9.1,12.4,61628.48,77650,105.28,91.33,Elmore County,Alabama,AL
2011,9.7,12.4,61410.72,78641,105.45,95.28,Elmore County,Alabama,AL
2012,10.7,13,61065.4,79330,105.61,99.22,Elmore County,Alabama,AL
2013,10.7,13.4,59147.28,79895,105.78,103.16,Elmore County,Alabama,AL
2014,10.4,12.9,57408.54,80321,105.95,107.1,Elmore County,Alabama,AL
2015,10.4,13.6,56768.3,80763,109.56,107.1,Elmore County,Alabama,AL
2016,11,14.3,56067.9,80957,113.18,107.1,Elmore County,Alabama,AL
2017,10.2,13.5,56630.43,80989,116.79,107.1,Elmore County,Alabama,AL
2018,9.8,12.3,59347,81212,120.41,107.1,Elmore County,Alabama,AL
2008,21.2,24,37800.5,37526,109.95,105.56,Escambia County,Alabama,AL
2009,19.7,22.8,37815.57,37561,109.28,105.39,Escambia County,Alabama,AL
2010,20.5,24.4,37035.32,37996,108.62,105.21,Escambia County,Alabama,AL
2011,20.3,23.7,35434.56,38081,107.95,105.04,Escambia County,Alabama,AL
2012,21.6,24.9,34182.5,38122,107.28,104.87,Escambia County,Alabama,AL
2013,22.3,25.4,33141.96,38169,106.61,104.7,Escambia County,Alabama,AL
2014,22.6,26,33307.32,38042,105.95,104.53,Escambia County,Alabama,AL
2015,20.3,24.2,34269.8,37935,109.56,105.39,Escambia County,Alabama,AL
2016,19.7,25.2,33950.7,37875,113.18,106.24,Escambia County,Alabama,AL
2017,17.9,23.8,36076.78,37621,116.79,107.1,Escambia County,Alabama,AL
2018,17.9,24,35000,37328,120.41,107.96,Escambia County,Alabama,AL
2008,13.4,16.7,41360.9,103045,77.42,68.89,Etowah County,Alabama,AL
2009,12.8,16.3,42562.26,103150,79.25,68.54,Etowah County,Alabama,AL
2010,13.1,16.8,42249.52,104066,81.09,68.2,Etowah County,Alabama,AL
2011,14.1,18,42304.64,104216,82.92,67.86,Etowah County,Alabama,AL
2012,14.7,18.8,41426,104317,84.76,67.52,Etowah County,Alabama,AL
2013,15.1,19,41054.04,104260,86.59,67.17,Etowah County,Alabama,AL
2014,15.3,19.6,40775.02,104126,88.43,66.83,Etowah County,Alabama,AL
2015,15.4,19.7,41573.2,103766,89.54,67.4,Etowah County,Alabama,AL
2016,14.2,18.4,42501.9,103363,90.65,67.97,Etowah County,Alabama,AL
2017,13.9,17.9,43325.92,103132,91.76,68.54,Etowah County,Alabama,AL
2018,13.4,17.3,44023,102939,92.88,69.11,Etowah County,Alabama,AL
2008,12.92,16.23,40195.18,17745,89.44,76.69,Fayette County,Alabama,AL
2009,12.9,16.1,41832.18,17651,92.2,77.55,Fayette County,Alabama,AL
2010,13.9,17.9,40089.6,17472,94.96,78.41,Fayette County,Alabama,AL
2011,16.1,19.7,37383.36,17361,97.72,79.28,Fayette County,Alabama,AL
2012,15.2,19.1,36399,17219,100.47,80.14,Fayette County,Alabama,AL
2013,15.1,19.9,36545.04,17110,103.23,81,Fayette County,Alabama,AL
2014,16,20.8,35132.64,17019,105.99,81.86,Fayette County,Alabama,AL
2015,14,18.3,36760.8,16896,106.56,83.3,Fayette County,Alabama,AL
2016,13.1,17.3,38015.25,16783,107.14,84.73,Fayette County,Alabama,AL
2017,13.7,18.1,37637.23,16657,107.71,86.17,Fayette County,Alabama,AL
2018,15,20,37458,16585,108.29,87.61,Fayette County,Alabama,AL
2008,12.8,18.1,36912.7,30581,110.99,92.72,Franklin County,Alabama,AL
2009,13.2,18.4,39054.6,30847,112.88,95.65,Franklin County,Alabama,AL
2010,14.9,19.5,39372.72,31383,114.78,98.58,Franklin County,Alabama,AL
2011,15,20.1,40130.72,31532,116.67,101.51,Franklin County,Alabama,AL
2012,14.7,19.8,40958.5,31664,118.57,104.44,Franklin County,Alabama,AL
2013,17.7,21.9,39328.2,31666,120.46,107.37,Franklin County,Alabama,AL
2014,19.4,24.3,37577,31663,122.36,110.3,Franklin County,Alabama,AL
2015,17,22.5,37494.32,31634,126.67,112.31,Franklin County,Alabama,AL
2016,17.1,22.3,37944.9,31573,130.98,114.32,Franklin County,Alabama,AL
2017,17.5,23,40686.03,31507,135.29,116.33,Franklin County,Alabama,AL
2018,14.8,20.2,40459,31542,139.59,118.34,Franklin County,Alabama,AL
2008,13,15,37893.65,25775,78.24,74.45,Geneva County,Alabama,AL
2009,12.4,16.1,36334.35,25800,81,74.97,Geneva County,Alabama,AL
2010,13.6,16.3,39602.4,26541,83.76,75.48,Geneva County,Alabama,AL
2011,16.6,19.1,39465.44,26646,86.51,76,Geneva County,Alabama,AL
2012,16.6,20,36979.8,26769,89.27,76.52,Geneva County,Alabama,AL
2013,17.7,21.2,38475,26791,92.03,77.04,Geneva County,Alabama,AL
2014,18.5,22.6,38444.08,26816,94.79,77.55,Geneva County,Alabama,AL
2015,18,23.2,38185.44,26815,93.35,78.7,Geneva County,Alabama,AL
2016,16.9,22.8,38344.95,26765,91.91,79.85,Geneva County,Alabama,AL
2017,16.8,22.5,40471.79,26572,90.48,81,Geneva County,Alabama,AL
2018,17.8,24,38142,26491,89.04,82.15,Geneva County,Alabama,AL
2008,25.37,31.54,25381.14,9208,89.44,76.69,Greene County,Alabama,AL
2009,24.8,31.2,26151.84,9112,92.2,77.55,Greene County,Alabama,AL
2010,24.9,30.8,25777.52,9255,94.96,78.41,Greene County,Alabama,AL
2011,27.5,31.7,25764.48,9170,97.72,79.28,Greene County,Alabama,AL
