how_old_are_you,industry,job_title,annual_salary,currency,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race
25-34,Computing or Tech,Intelligence Analyst,110000,USD,USA,Virginia,"Arlington, VA",8 - 10 years,8 - 10 years,Master's degree,Man,White
25-34,Nonprofits,Project Manager,66625,USD,US,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
35-44,Computing or Tech,Mobile developer,144600,USD,USA,Massachusetts,Boston,5-7 years,5-7 years,PhD,Woman,White
35-44,Computing or Tech,Product Design Director,200850,USD,USA,North Carolina,Chapel Hill,11 - 20 years,11 - 20 years,College degree,Woman,White
25-34,Engineering or Manufacturing,Engineering specialist,120000,CAD,Canada,NA,Vancouver,11 - 20 years,8 - 10 years,College degree,Woman,White
25-34,Retail,"Manager, Total Rewards",97500,CAD,Canada,NA,Toronto,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Education (Higher Education),Research and Development Engineer 3,96000,USD,United States,California,Berkeley,5-7 years,5-7 years,PhD,Woman,White
25-34,Education (Primary/Secondary),Science Teacher (Public High School),53000,USD,United States,Minnesota,Apple Valley,5-7 years,1 year or less,Master's degree,Woman,White
25-34,"Marketing, Advertising & PR","Senior Manager, Programmatic",95000,USD,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
35-44,Computing or Tech,Managed Services Sales Coordinator,72000,USD,United States,Michigan,Troy,11 - 20 years,5-7 years,Master's degree,Woman,White
35-44,Media & Digital,Editor,52000,CAD,Canada,NA,Toronto,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American
35-44,Engineering or Manufacturing,Water Resources Engineer,106000,USD,United States,Massachusetts,Boston,21 - 30 years,11 - 20 years,Master's degree,Woman,White
25-34,Government and Public Administration,Program Officer,115000,USD,United States,District of Columbia,DC,5-7 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin"
25-34,Business or Consulting,Account Supervisor,100500,USD,US,District of Columbia,Washington,11 - 20 years,5-7 years,College degree,Woman,White
25-34,Law,Legal Secretary,33200,USD,US,New Jersey,Linden,8 - 10 years,2 - 4 years,Some college,Woman,White
35-44,Government and Public Administration,Policy Lead,52000,GBP,United Kingdom,NA,Bristol,11 - 20 years,11 - 20 years,Master's degree,Woman,White
25-34,Education (Higher Education),Coordinator,52000,USD,United States,Illinois,Champaign,8 - 10 years,8 - 10 years,College degree,Woman,White
25-34,Government and Public Administration,Senior Advisor,79000,CAD,Canada,NA,Nova Scotia,8 - 10 years,5-7 years,Master's degree,Woman,White
65 or over,Property or Construction,Safety Director,104000,USD,USA,Georgia,Atlanta,41 years or more,21 - 30 years,College degree,Man,White
25-34,Education (Primary/Secondary),Secondary School Educator,75000,CAD,Canada,NA,Ottawa,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American
18-24,Biotechnology,Downstream Process Development Research Associate I,52000,USD,United States,Texas,Bryan,2 - 4 years,2 - 4 years,College degree,Woman,White
25-34,Education (Higher Education),Research Programmer,70000,USD,USA,Rhode Island,Providence,5-7 years,2 - 4 years,Master's degree,Non-binary,White
25-34,Nonprofits,"Manager, Natural Climate Solutions Development",84000,USD,United States,District of Columbia,District of Columbia,5-7 years,5-7 years,Master's degree,Woman,White
