stockname,timestamp,open,high,low,close,volume
AAL,2025-01-01,17.384814285714285,17.387147619047617,17.383633333333332,17.38477619047619,NA
AAL,2025-01-02,NA,NA,NA,NA,NA
AAL,2025-01-03,NA,NA,NA,NA,NA
AAL,2025-01-04,16.94161153846154,16.94733846153846,16.93881923076923,16.94281923076923,NA
AAL,2025-01-06,NA,NA,NA,NA,NA
AAL,2025-01-07,NA,NA,NA,NA,NA
AAL,2025-01-08,NA,NA,NA,NA,NA
AAL,2025-01-09,17.615805263157895,17.61632105263158,17.61528947368421,17.61554736842105,NA
AAL,2025-01-10,NA,NA,NA,NA,NA
AAL,2025-01-11,18.333886666666668,18.33538666666667,18.33323,18.33473,NA
AAL,2025-01-13,NA,NA,NA,NA,NA
AAL,2025-01-14,NA,NA,NA,NA,NA
AAL,2025-01-15,NA,NA,NA,NA,NA
AAL,2025-01-16,NA,NA,NA,NA,NA
AAL,2025-01-17,NA,NA,NA,NA,NA
AAL,2025-01-18,18.28444832214765,18.28901812080537,18.28444832214765,18.288656375838926,0
AAL,2025-01-21,18.591655391266418,18.60257842278103,18.580058945059605,18.592548436232693,638744391
AAL,2025-01-22,NA,NA,NA,NA,NA
AAL,2025-01-23,NA,NA,NA,NA,NA
AAL,2025-01-24,NA,NA,NA,NA,NA
AAL,2025-01-25,16.958539778129953,16.961877812995244,16.956546275752775,16.960633122028526,0
AAL,2025-01-27,NA,NA,NA,NA,NA
AAL,2025-01-28,NA,NA,NA,NA,NA
AAL,2025-01-29,NA,NA,NA,NA,NA
AAL,2025-01-30,NA,NA,NA,NA,NA
AAL,2025-01-31,NA,NA,NA,NA,NA
AAL,2025-02-01,16.91308231292517,16.916714285714285,16.912696598639457,16.91530357142857,0
AAL,2025-02-03,NA,NA,NA,NA,NA
AAL,2025-02-04,NA,NA,NA,NA,NA
AAL,2025-02-05,NA,NA,NA,NA,NA
AAL,2025-02-06,NA,NA,NA,NA,NA
AAL,2025-02-07,NA,NA,NA,NA,NA
AAL,2025-02-08,17.180504451038576,17.180537685459942,17.178861721068248,17.178894955489614,0
AAL,2025-02-10,NA,NA,NA,NA,NA
AAL,2025-02-11,NA,NA,NA,NA,NA
AAL,2025-02-12,NA,NA,NA,NA,NA
AAL,2025-02-13,NA,NA,NA,NA,NA
AAL,2025-02-14,NA,NA,NA,NA,NA
AAL,2025-02-15,15.944047410358566,15.94464501992032,15.941481673306772,15.942278486055777,0
AAL,2025-02-18,NA,NA,NA,NA,NA
AAL,2025-02-19,15.994332597842485,16.001323522930164,15.98749254029945,15.993924665058799,121472478
AAL,2025-02-20,NA,NA,NA,NA,NA
AAL,2025-02-21,15.584147240216971,15.594372836344183,15.572610252897348,15.583361350746264,272511557
AAL,2025-02-22,15.27221686746988,15.273114457831324,15.270581325301205,15.272174698795181,0
AAPL,2025-01-01,250.43253882915172,250.4505586618877,250.42199283154122,250.43562532855435,NA
AAPL,2025-01-02,NA,NA,NA,NA,NA
AAPL,2025-01-03,NA,NA,NA,NA,NA
AAPL,2025-01-04,243.26121666666666,243.29991333333334,243.21031333333332,243.25148666666666,NA
AAPL,2025-01-06,NA,NA,NA,NA,NA
AAPL,2025-01-07,NA,NA,NA,NA,NA
AAPL,2025-01-08,242.16169243328153,242.2884392743888,242.0726853349902,242.15826136818916,NA
AAPL,2025-01-09,242.337805,242.41393666666667,242.28993166666666,242.35614333333334,NA
AAPL,2025-01-10,NA,NA,NA,NA,NA
