stockname,timestamp,open,high,low,close,volume
AAL,2024-12-16,NA,NA,NA,NA,NA
AAL,2024-12-17,NA,NA,NA,NA,NA
AAL,2024-12-18,NA,NA,NA,NA,NA
AAL,2024-12-19,NA,NA,NA,NA,NA
AAL,2024-12-20,NA,NA,NA,NA,NA
AAL,2024-12-21,16.948660869565217,16.95146956521739,16.94353043478261,16.94462608695652,NA
AAL,2024-12-23,NA,NA,NA,NA,NA
AAL,2024-12-24,NA,NA,NA,NA,NA
AAL,2024-12-26,NA,NA,NA,NA,NA
AAL,2024-12-27,NA,NA,NA,NA,NA
AAL,2024-12-28,17.322883870967743,17.325148387096775,17.3216,17.323232258064515,NA
AAL,2024-12-30,17.520560787182703,17.528996394070234,17.51242034918978,17.52095494495544,NA
AAL,2024-12-31,17.537009487369286,17.54458038591396,17.52928804921106,17.53590796316678,NA
AAPL,2024-12-14,247.84609666666665,247.86466833333333,247.83226166666665,247.85038166666666,NA
AAPL,2024-12-16,NA,NA,NA,NA,NA
AAPL,2024-12-17,NA,NA,NA,NA,NA
AAPL,2024-12-18,NA,NA,NA,NA,NA
AAPL,2024-12-19,NA,NA,NA,NA,NA
AAPL,2024-12-20,NA,NA,NA,NA,NA
AAPL,2024-12-23,NA,NA,NA,NA,NA
AAPL,2024-12-24,NA,NA,NA,NA,NA
AAPL,2024-12-26,NA,NA,NA,NA,NA
AAPL,2024-12-27,NA,NA,NA,NA,NA
AAPL,2024-12-28,254.82729333333333,254.86203333333333,254.79367166666668,254.82335833333335,NA
AAPL,2024-12-30,252.72700010734974,252.8123560012603,252.64355567291744,252.72389955919343,NA
AAPL,2024-12-31,251.3440137816219,251.4084689011401,251.26949906253145,251.33760505445014,NA
ABEV,2024-12-14,2.16485,2.16485,2.16485,2.16485,NA
ABEV,2024-12-16,NA,NA,NA,NA,NA
ABEV,2024-12-17,NA,NA,NA,NA,NA
ABEV,2024-12-18,NA,NA,NA,NA,NA
ABEV,2024-12-19,NA,NA,NA,NA,NA
ABEV,2024-12-20,NA,NA,NA,NA,NA
ABEV,2024-12-23,NA,NA,NA,NA,NA
ABEV,2024-12-24,NA,NA,NA,NA,NA
ABEV,2024-12-26,NA,NA,NA,NA,NA
ABEV,2024-12-27,NA,NA,NA,NA,NA
ABEV,2024-12-28,1.8854555555555554,1.8865444444444444,1.8843444444444444,1.8843444444444444,NA
ABEV,2024-12-30,1.8666812631011334,1.870932353297527,1.8630986239044471,1.8664391604471733,NA
ABEV,2024-12-31,1.8430691962280001,1.8462046738371167,1.8395519696022307,1.842904683133289,NA
ACHR,2024-12-14,8.408938333333333,8.414283333333334,8.397736666666667,8.408023333333334,NA
ACHR,2024-12-16,NA,NA,NA,NA,NA
ACHR,2024-12-17,NA,NA,NA,NA,NA
ACHR,2024-12-18,NA,NA,NA,NA,NA
ACHR,2024-12-19,NA,NA,NA,NA,NA
ACHR,2024-12-20,NA,NA,NA,NA,NA
ACHR,2024-12-21,9.6789,9.687285,9.665046666666667,9.675271666666667,0
ACHR,2024-12-23,NA,NA,NA,NA,NA
ACHR,2024-12-24,NA,NA,NA,NA,NA
ACHR,2024-12-26,11.103081306676488,11.121411882382839,11.083464609335344,11.103265217179983,NA
ACHR,2024-12-27,11.166236797855806,11.181319057473576,11.149180506080995,11.165326321698357,NA
ACHR,2024-12-28,11.141445614035089,11.145133333333334,11.132640350877193,11.138292982456141,NA
ACHR,2024-12-30,10.392402937029159,10.406335401184013,10.375574596098305,10.391105676946118,NA
ACHR,2024-12-31,9.958198784307704,9.969712630055966,9.94515211043753,9.957495192083867,NA
ADT,2024-12-16,NA,NA,NA,NA,NA
ADT,2024-12-17,NA,NA,NA,NA,NA
ADT,2024-12-18,NA,NA,NA,NA,NA
